work,direct_equipment,inferred_equipment,inference_reason,count,sources,unit,quantity,cost_or_price
"Разработка грунта с погрузкой на автомобили-самосвалы экскаваторами с ковшом вместимостью 1 (1-1,2) м3, группа грунтов 1 погрузка в а/т","самосвал, экскаватор","самосвал, экскаватор",земляные выемки и работа с грунтом,6,Пример накопительной.xlsx:Лист_1:51293; Пример накопительной.xlsx:Лист_1:51329; Пример накопительной.xlsx:Лист_1:53889; Пример накопительной.xlsx:Лист_1:54365; Пример накопительной.xlsx:Лист_1:66197; Пример накопительной.xlsx:Лист_1:120887,1000 м3 грунта,3.35,2469.76
"Уплотнение грунта прицепными катками на пневмоколесном ходу 25 т на первый проход по одному следу при толщине слоя 30 см в ""окно""",каток,"каток, трамбовка",уплотнение грунта или основания,6,Пример накопительной.xlsx:Лист_1:54521; Пример накопительной.xlsx:Лист_1:56375; Пример накопительной.xlsx:Лист_1:57297; Пример накопительной.xlsx:Лист_1:58475; Пример накопительной.xlsx:Лист_1:60197; Пример накопительной.xlsx:Лист_1:64743,1000 м3 уплотненного грунта,0.03,1507.82
"Установка металлических опор одностоечных (ОГК)с фундаментом (ФМ-0,133-2,5). Бурение котлованов для опор ВЛ 0,38-10 кВ на глубину более 2-х м, добавле",,"буровая машина, кран, самосвал, экскаватор","буровые, свайные или фундаментные работы; земляные выемки и работа с грунтом",6,Пример накопительной.xlsx:Лист_1:99551; Пример накопительной.xlsx:Лист_1:99581; Пример накопительной.xlsx:Лист_1:99803; Пример накопительной.xlsx:Лист_1:100135; Пример накопительной.xlsx:Лист_1:100165; Пример накопительной.xlsx:Лист_1:100195,1 опора,14,233.03
Устройство бетонной подготовки под крыльцо и пандус,,"бетоновоз/миксер, бетононасос, кран",бетонные и железобетонные работы,6,Пример накопительной.xlsx:Лист_1:66357; Пример накопительной.xlsx:Лист_1:66681; Пример накопительной.xlsx:Лист_1:67007; Пример накопительной.xlsx:Лист_1:67331; Пример накопительной.xlsx:Лист_1:67655; Пример накопительной.xlsx:Лист_1:67971,"100 м3 бетона, бутобетона и железобетона в деле",0.0007,60013.04
"Устройство подушек под фундаменты опор мостов щебеночных. Выполнение работ с прекращением движения поездов, автомобильного транспорта или судов в ""окн",,"буровая машина, кран","буровые, свайные или фундаментные работы",6,Пример накопительной.xlsx:Лист_1:54469; Пример накопительной.xlsx:Лист_1:56321; Пример накопительной.xlsx:Лист_1:57245; Пример накопительной.xlsx:Лист_1:58419; Пример накопительной.xlsx:Лист_1:60145; Пример накопительной.xlsx:Лист_1:64681,100 м3 подушки,0.06,20299.16
"Устройство покрытия толщиной 4 см из горячих асфальтобетонных смесей пористых крупнозернистых, плотность каменных материалов 2,5-2,9 т/м3",,"бетоновоз/миксер, бетононасос, кран",бетонные и железобетонные работы,6,Пример накопительной.xlsx:Лист_1:66263; Пример накопительной.xlsx:Лист_1:70137; Пример накопительной.xlsx:Лист_1:93735; Пример накопительной.xlsx:Лист_1:93771; Пример накопительной.xlsx:Лист_1:93833; Пример накопительной.xlsx:Лист_1:93909,1000 м2 покрытия,8.0469,45971.99
Устройство трубопроводов из полиэтиленовых труб с количеством каналов: до 2 (прокладка гибкой трубы д.50мм в траншее). Отсутствие движения поездов в у,,"кран, самосвал, экскаватор",земляные выемки и работа с грунтом; устройство водопропускных труб,6,Пример накопительной.xlsx:Лист_1:33461; Пример накопительной.xlsx:Лист_1:33473; Пример накопительной.xlsx:Лист_1:33485; Пример накопительной.xlsx:Лист_1:33497; Пример накопительной.xlsx:Лист_1:33509; Пример накопительной.xlsx:Лист_1:33521,1 км трубопровода,0.085,4470.22
"Щебень из природного камня для строительных работ марка 800, фракция 20-40 мм для засыпки",,"автогрейдер, бульдозер","перемещение, засыпка или планировка грунта",6,Пример накопительной.xlsx:Лист_1:54517; Пример накопительной.xlsx:Лист_1:56371; Пример накопительной.xlsx:Лист_1:57293; Пример накопительной.xlsx:Лист_1:57397; Пример накопительной.xlsx:Лист_1:60193; Пример накопительной.xlsx:Лист_1:64739,м3,35.4,122.15
. Перевозка массовых навалочных грузов автомобилями-самосвалами на расстояние до 76 км,самосвал,,,5,Пример накопительной.xlsx:Лист_1:121641; Пример накопительной.xlsx:Лист_1:122011; Пример накопительной.xlsx:Лист_1:122299; Пример накопительной.xlsx:Лист_1:122397; Пример накопительной.xlsx:Лист_1:122807,1 т груза,0.183,43.57
Бурение с предварительным расширением скважины длиной 50 м машиной горизонтального бурения прессово-шнековой с усилием продавливания 203 ТС (2000кН) ф,,"буровая машина, кран","буровые, свайные или фундаментные работы",5,Пример накопительной.xlsx:Лист_1:1503; Пример накопительной.xlsx:Лист_1:20327; Пример накопительной.xlsx:Лист_1:23935; Пример накопительной.xlsx:Лист_1:29497; Пример накопительной.xlsx:Лист_1:70063,100 м бурения скважины,12,42630.24
Бурение скважин диаметром 700 мм вращательным (роторным) способом в грунтах и породах группы 3 (для фундаментов из металлических труб д.530мм) /на гл,,"буровая машина, кран","буровые, свайные или фундаментные работы",5,Пример накопительной.xlsx:Лист_1:20977; Пример накопительной.xlsx:Лист_1:22169; Пример накопительной.xlsx:Лист_1:22439; Пример накопительной.xlsx:Лист_1:30361; Пример накопительной.xlsx:Лист_1:30767,1 м скважины,60.5,372.11
Вывоз грунта до 5 км,,самосвал,транспортировка грунта или сыпучих материалов,5,Пример накопительной.xlsx:Лист_1:73; Пример накопительной.xlsx:Лист_1:7741; Пример накопительной.xlsx:Лист_1:53273; Пример накопительной.xlsx:Лист_1:53681; Пример накопительной.xlsx:Лист_1:53703,т,240,6.69
"Засыпка и разравнивание лишнего рунта с перемещением до 5 м бульдозерами мощностью 59 кВт (80 л.с.), группа грунтов 3",бульдозер,"автогрейдер, бульдозер","перемещение, засыпка или планировка грунта",5,Пример накопительной.xlsx:Лист_1:42417; Пример накопительной.xlsx:Лист_1:42483; Пример накопительной.xlsx:Лист_1:42671; Пример накопительной.xlsx:Лист_1:42771; Пример накопительной.xlsx:Лист_1:42819,1000 м3 грунта,0.0068,755.35
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 59 кВт (80 л.с.), группа грунтов 2",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",5,Пример накопительной.xlsx:Лист_1:29351; Пример накопительной.xlsx:Лист_1:29385; Пример накопительной.xlsx:Лист_1:29425; Пример накопительной.xlsx:Лист_1:29439; Пример накопительной.xlsx:Лист_1:32531,1000 м3 грунта,0.0922,646.71
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 96 кВт (130 л.с.), группа грунтов 3. Обратная засыпка",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",5,Пример накопительной.xlsx:Лист_1:55171; Пример накопительной.xlsx:Лист_1:57889; Пример накопительной.xlsx:Лист_1:58307; Пример накопительной.xlsx:Лист_1:61549; Пример накопительной.xlsx:Лист_1:64951,1000 м3 грунта,0.03,826.41
"Лесоматериалы круглые хвойных пород для свай гидротехнических сооружений и элементов мостов, диаметром 22-34 см, длиной 8,5 м с учетом оборачиваемости",,"буровая машина, кран","буровые, свайные или фундаментные работы",5,Пример накопительной.xlsx:Лист_1:55125; Пример накопительной.xlsx:Лист_1:57843; Пример накопительной.xlsx:Лист_1:60821; Пример накопительной.xlsx:Лист_1:61503; Пример накопительной.xlsx:Лист_1:61961,м3,0.36036,859.66
Обетонирование колонн (стоек Ст-4),,"бетоновоз/миксер, бетононасос, кран",бетонные и железобетонные работы,5,Пример накопительной.xlsx:Лист_1:96951; Пример накопительной.xlsx:Лист_1:97079; Пример накопительной.xlsx:Лист_1:97157; Пример накопительной.xlsx:Лист_1:97237; Пример накопительной.xlsx:Лист_1:97317,1 м3,0.13,1440.55
"Перевозка массовых навалочных грузов автомобилями-самосвалами, работающими вне карьеров на расстояние до 30 км (I класс груза) цена-19,29х1,2",самосвал,,,5,Пример накопительной.xlsx:Лист_1:35789; Пример накопительной.xlsx:Лист_1:35801; Пример накопительной.xlsx:Лист_1:36311; Пример накопительной.xlsx:Лист_1:36503; Пример накопительной.xlsx:Лист_1:77071,1 т груза,0.231,23.15
"Перевозка массовых навалочных грузов автомобилями-самосвалами, работающими вне карьеров на расстояние свыше 30 км (на расстояние до 76 км)",самосвал,,,5,Пример накопительной.xlsx:Лист_1:53161; Пример накопительной.xlsx:Лист_1:55607; Пример накопительной.xlsx:Лист_1:62495; Пример накопительной.xlsx:Лист_1:62603; Пример накопительной.xlsx:Лист_1:122113,1 т груза,34.3,43.57
Погружение в мостостроении в грунты 1-2 групп одиночных свай из бревен длиной до 8 м. Извлечение свай заборной стенки,,"буровая машина, кран","буровые, свайные или фундаментные работы",5,Пример накопительной.xlsx:Лист_1:55169; Пример накопительной.xlsx:Лист_1:57887; Пример накопительной.xlsx:Лист_1:58303; Пример накопительной.xlsx:Лист_1:61547; Пример накопительной.xlsx:Лист_1:64947,1 м3 свай,0.66,1769.76
Погружение дизель-молотом копровой установки на базе экскаватора железобетонных свай длиной до 12 м в грунты группы 2,экскаватор,"буровая машина, кран","буровые, свайные или фундаментные работы",5,Пример накопительной.xlsx:Лист_1:7627; Пример накопительной.xlsx:Лист_1:51065; Пример накопительной.xlsx:Лист_1:78127; Пример накопительной.xlsx:Лист_1:95785; Пример накопительной.xlsx:Лист_1:96527,1 м3 свай,43.68,604.81
Прокладка кабеля в кабельном канале,,"автовышка, кабелеукладчик, экскаватор","монтаж кабельных линий, СЦБ или связи",5,Пример накопительной.xlsx:Лист_1:23081; Пример накопительной.xlsx:Лист_1:23443; Пример накопительной.xlsx:Лист_1:23681; Пример накопительной.xlsx:Лист_1:100929; Пример накопительной.xlsx:Лист_1:101389,100 м,0.9,62.74
"Прокладка кабеля в подземной канализации, масса 1 м кабеля до 2 кг",,"автовышка, кабелеукладчик, экскаватор","монтаж кабельных линий, СЦБ или связи",5,Пример накопительной.xlsx:Лист_1:35879; Пример накопительной.xlsx:Лист_1:36123; Пример накопительной.xlsx:Лист_1:36381; Пример накопительной.xlsx:Лист_1:69293; Пример накопительной.xlsx:Лист_1:69843,1 км,0.012,6913.58
"Разработка грунта в котлованах экскаватором с ковшом вместимостью 1,0 м3, группа грунтов 1",экскаватор,"самосвал, экскаватор",земляные выемки и работа с грунтом,5,Пример накопительной.xlsx:Лист_1:55609; Пример накопительной.xlsx:Лист_1:56727; Пример накопительной.xlsx:Лист_1:57627; Пример накопительной.xlsx:Лист_1:62497; Пример накопительной.xlsx:Лист_1:122115,1000 м3 грунта,0.541,3147.1
"Разработка грунта в котлованах экскаватором с ковшом вместимостью 1,0 м3, группа грунтов 1. Котлован под фундамент и под укрепления русла",экскаватор,"самосвал, экскаватор",земляные выемки и работа с грунтом,5,Пример накопительной.xlsx:Лист_1:59269; Пример накопительной.xlsx:Лист_1:61581; Пример накопительной.xlsx:Лист_1:63395; Пример накопительной.xlsx:Лист_1:65569; Пример накопительной.xlsx:Лист_1:65817,1000 м3 грунта,0.088,3147.1
"Разработка грунта в отвал экскаваторами ""драглайн"" или ""обратная лопата"" с ковшом вместимостью 1 (1-1,2) м3, группа грунтов 2 Перекидка щебня в насыпь",экскаватор,"самосвал, экскаватор",земляные выемки и работа с грунтом,5,Пример накопительной.xlsx:Лист_1:54519; Пример накопительной.xlsx:Лист_1:56373; Пример накопительной.xlsx:Лист_1:57295; Пример накопительной.xlsx:Лист_1:60195; Пример накопительной.xlsx:Лист_1:64741,1000 м3 грунта,0.03,2174.01
"Разработка грунта вручную в траншеях глубиной до 2 м без креплений с откосами, группа грунтов 3 (для заземления)",,"самосвал, экскаватор",земляные выемки и работа с грунтом,5,Пример накопительной.xlsx:Лист_1:4057; Пример накопительной.xlsx:Лист_1:6119; Пример накопительной.xlsx:Лист_1:10043; Пример накопительной.xlsx:Лист_1:17757; Пример накопительной.xlsx:Лист_1:94511,100 м3 грунта,0.15,2514.72
"Разработка грунта вручную в траншеях на действующей железной дороге в междупутье, группа грунтов 3",,"самосвал, экскаватор",земляные выемки и работа с грунтом,5,Пример накопительной.xlsx:Лист_1:29477; Пример накопительной.xlsx:Лист_1:80619; Пример накопительной.xlsx:Лист_1:80727; Пример накопительной.xlsx:Лист_1:80775; Пример накопительной.xlsx:Лист_1:82849,100 м3 грунта,13.95,10675.68
"Разработка грунта вручную с креплениями в траншеях шириной до 2 м, глубиной до 2 м, группа грунтов 3 (для заземления). Вертикальные стенки без креплен",,"самосвал, экскаватор",земляные выемки и работа с грунтом,5,Пример накопительной.xlsx:Лист_1:34765; Пример накопительной.xlsx:Лист_1:34931; Пример накопительной.xlsx:Лист_1:43833; Пример накопительной.xlsx:Лист_1:52803; Пример накопительной.xlsx:Лист_1:90181,100 м3 грунта,0.075,3027.42
"Разработка грунта с перемещением до 10 м бульдозерами мощностью 132 кВт (180 л.с.), группа грунтов 3 перемещение в насыпь",бульдозер,"самосвал, экскаватор",земляные выемки и работа с грунтом,5,Пример накопительной.xlsx:Лист_1:8143; Пример накопительной.xlsx:Лист_1:8149; Пример накопительной.xlsx:Лист_1:53877; Пример накопительной.xlsx:Лист_1:53991; Пример накопительной.xlsx:Лист_1:54063,1000 м3 грунта,0.01,647.48
"Разработка грунта с погрузкой на автомобили-самосвалы экскаваторами с ковшом вместимостью 0,4 (0,35-0,45) м3, группа грунтов 1 (погрузка лишнего грунт","самосвал, экскаватор","самосвал, экскаватор",земляные выемки и работа с грунтом,5,Пример накопительной.xlsx:Лист_1:12095; Пример накопительной.xlsx:Лист_1:17627; Пример накопительной.xlsx:Лист_1:27429; Пример накопительной.xlsx:Лист_1:28139; Пример накопительной.xlsx:Лист_1:97683,1000 м3 грунта,0.0095,5155.13
"Разработка грунта с погрузкой на автомобили-самосвалы экскаваторами с ковшом вместимостью 0,65 (0,5-1) м3, группа грунтов 2","самосвал, экскаватор","самосвал, экскаватор",земляные выемки и работа с грунтом,5,Пример накопительной.xlsx:Лист_1:10141; Пример накопительной.xlsx:Лист_1:11617; Пример накопительной.xlsx:Лист_1:46945; Пример накопительной.xlsx:Лист_1:90811; Пример накопительной.xlsx:Лист_1:120625,1000 м3 грунта,0.0346,4403.83
"Укладка пути звеньями рельсошпальной решетки длиной 25 м, шпалы железобетонные: без устройства разделительного слоя",,"выправочно-подбивочная машина, кран, локомотив/мотовоз, путеукладчик",работы верхнего строения пути,5,Пример накопительной.xlsx:Лист_1:723; Пример накопительной.xlsx:Лист_1:977; Пример накопительной.xlsx:Лист_1:42625; Пример накопительной.xlsx:Лист_1:51423; Пример накопительной.xlsx:Лист_1:51435,1 км пути,0.2,14011.66
Укладка трубопроводов из полиэтиленовых труб диаметром 100 мм,,"кран, самосвал, экскаватор",устройство водопропускных труб,5,Пример накопительной.xlsx:Лист_1:18229; Пример накопительной.xlsx:Лист_1:25451; Пример накопительной.xlsx:Лист_1:71293; Пример накопительной.xlsx:Лист_1:74947; Пример накопительной.xlsx:Лист_1:77207,1 км трубопровода,0.57,80205.63
Укладка трубопроводов из полиэтиленовых труб диаметром 65 мм,,"кран, самосвал, экскаватор",устройство водопропускных труб,5,Пример накопительной.xlsx:Лист_1:18235; Пример накопительной.xlsx:Лист_1:25341; Пример накопительной.xlsx:Лист_1:47593; Пример накопительной.xlsx:Лист_1:71367; Пример накопительной.xlsx:Лист_1:71565,1 км трубопровода,0.13,35344.44
"Укладка фундаментов под колонны при глубине котлована до 4 м, масса конструкций до 1,5 т",,"самосвал, экскаватор",земляные выемки и работа с грунтом,5,Пример накопительной.xlsx:Лист_1:96947; Пример накопительной.xlsx:Лист_1:97071; Пример накопительной.xlsx:Лист_1:97149; Пример накопительной.xlsx:Лист_1:97229; Пример накопительной.xlsx:Лист_1:97309,100 шт. сборных конструкций,0.03,8954.33
Устройство подушек под фундаменты опор мостов щебеночных. Подготовка щебеночного основания под шпальные опоры,,"буровая машина, кран","буровые, свайные или фундаментные работы",5,Пример накопительной.xlsx:Лист_1:55101; Пример накопительной.xlsx:Лист_1:57817; Пример накопительной.xlsx:Лист_1:58233; Пример накопительной.xlsx:Лист_1:61477; Пример накопительной.xlsx:Лист_1:64875,100 м3 подушки,0.05,20299.16
"Устройство трубопроводов из полиэтиленовых труб с количеством каналов: до 2.Отсутствие движения поездов в условиях новостроящихся линий, применен коэф",,"кран, самосвал, экскаватор",устройство водопропускных труб,5,Пример накопительной.xlsx:Лист_1:36683; Пример накопительной.xlsx:Лист_1:36693; Пример накопительной.xlsx:Лист_1:36763; Пример накопительной.xlsx:Лист_1:36883; Пример накопительной.xlsx:Лист_1:93423,1 км трубопровода,0.18,4470.22
"Балластировка пути и стрелочных переводов на железобетонных шпалах, балласт: щебеночный в ""окно""",,"балластораспределитель, выправочно-подбивочная машина, погрузчик, самосвал",балластировка и распределение щебня,4,Пример накопительной.xlsx:Лист_1:54919; Пример накопительной.xlsx:Лист_1:57081; Пример накопительной.xlsx:Лист_1:57619; Пример накопительной.xlsx:Лист_1:60771,1000 м3 балласта в призме,0.14,15578.73
"Бурение пилотной скважины машиной горизонтального бурения прессово-шнековой с усилием продавливания 203 ТС (2000кН) фирмы SHMIDT, KRANZ-GRUPPE",,"буровая машина, кран","буровые, свайные или фундаментные работы",4,Пример накопительной.xlsx:Лист_1:20325; Пример накопительной.xlsx:Лист_1:23933; Пример накопительной.xlsx:Лист_1:29495; Пример накопительной.xlsx:Лист_1:70061,100 м бурения скважины,2.6,9918.88
Бурение скважин диаметром 700 мм вращательным (роторным) способом в грунтах и породах группы 3. Учтен расход бурового инструмента на 100 м проходки ск,,"буровая машина, кран","буровые, свайные или фундаментные работы",4,Пример накопительной.xlsx:Лист_1:33529; Пример накопительной.xlsx:Лист_1:42455; Пример накопительной.xlsx:Лист_1:42913; Пример накопительной.xlsx:Лист_1:42939,1 м скважины,18,372.11
"Вдавливание щебня в грунт пневматическими трамбовками, группа грунтов 1, 2",трамбовка,,,4,Пример накопительной.xlsx:Лист_1:8117; Пример накопительной.xlsx:Лист_1:8189; Пример накопительной.xlsx:Лист_1:53969; Пример накопительной.xlsx:Лист_1:54037,100 м3 уплотненного грунта,4.27,483.54
Демонтаж машины горизонтального бурения прессово-шнекового типа РВА,,"буровая машина, кран","буровые, свайные или фундаментные работы",4,Пример накопительной.xlsx:Лист_1:20323; Пример накопительной.xlsx:Лист_1:23931; Пример накопительной.xlsx:Лист_1:29493; Пример накопительной.xlsx:Лист_1:70065,1 машина,3,810.82
"Дополнительные транспортные затраты (сверх учтенных сметной ценой) на перевозку щебня для укрепления на 299км с карьера ""Сибирцево""",,самосвал,транспортировка грунта или сыпучих материалов,4,Пример накопительной.xlsx:Лист_1:8107; Пример накопительной.xlsx:Лист_1:8179; Пример накопительной.xlsx:Лист_1:53959; Пример накопительной.xlsx:Лист_1:54027,1 т груза,683.2,39
"Засыпка вручную траншей, пазух котлованов и ям, группа грунтов 2 (обратная засыпка песком)",,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",4,Пример накопительной.xlsx:Лист_1:31255; Пример накопительной.xlsx:Лист_1:33735; Пример накопительной.xlsx:Лист_1:33959; Пример накопительной.xlsx:Лист_1:37299,100 м3 грунта,0.06,947.7
"Засыпка вручную траншей, пазух котлованов и ям, группа грунтов: 1",,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",4,Пример накопительной.xlsx:Лист_1:80595; Пример накопительной.xlsx:Лист_1:82519; Пример накопительной.xlsx:Лист_1:82621; Пример накопительной.xlsx:Лист_1:123051,100 м3 грунта,0.4333,862.88
"Засыпка траншей и котлованов с перемещением грунта до 5 м бульдозерами мощностью 132 кВт (180 л.с.), группа грунтов 3 Надвижка щебня бульдозерами на о",бульдозер,"автогрейдер, бульдозер, самосвал, экскаватор","земляные выемки и работа с грунтом; перемещение, засыпка или планировка грунта",4,Пример накопительной.xlsx:Лист_1:8109; Пример накопительной.xlsx:Лист_1:8181; Пример накопительной.xlsx:Лист_1:53961; Пример накопительной.xlsx:Лист_1:54029,1000 м3 грунта,0.3843,395
Краны на железнодорожном ходу 80 т Исключается краны железнодорожные 80 т,кран,,,4,Пример накопительной.xlsx:Лист_1:51601; Пример накопительной.xlsx:Лист_1:51609; Пример накопительной.xlsx:Лист_1:61969; Пример накопительной.xlsx:Лист_1:61977,маш.-ч,-17.4,393.34
"Лесоматериалы круглые хвойных пород для свай гидротехнических сооружений и элементов мостов, диаметром 22-34 см, длиной 8,5 м Добавляется с учетом 5-к",,"буровая машина, кран","буровые, свайные или фундаментные работы",4,Пример накопительной.xlsx:Лист_1:54479; Пример накопительной.xlsx:Лист_1:56331; Пример накопительной.xlsx:Лист_1:58429; Пример накопительной.xlsx:Лист_1:64691,м3,0.6072,859.66
"Лесоматериалы круглые хвойных пород для свай гидротехнических сооружений и элементов мостов, диаметром 22-34 см, длиной 8,5 м, с учетом оборачиваемост",,"буровая машина, кран","буровые, свайные или фундаментные работы",4,Пример накопительной.xlsx:Лист_1:51591; Пример накопительной.xlsx:Лист_1:53081; Пример накопительной.xlsx:Лист_1:58261; Пример накопительной.xlsx:Лист_1:64903,м3,0.44772,859.66
Монтаж машины горизонтального бурения прессово-шнекового типа РВА,,"буровая машина, кран","буровые, свайные или фундаментные работы",4,Пример накопительной.xlsx:Лист_1:20321; Пример накопительной.xlsx:Лист_1:23929; Пример накопительной.xlsx:Лист_1:29491; Пример накопительной.xlsx:Лист_1:70059,1 машина,3,1364.07
Нанесение состава MASTERSEAL 501 для уплотнения структуры бетона,,"каток, трамбовка",уплотнение грунта или основания,4,Пример накопительной.xlsx:Лист_1:54841; Пример накопительной.xlsx:Лист_1:56563; Пример накопительной.xlsx:Лист_1:57415; Пример накопительной.xlsx:Лист_1:60515,100 м2 поверхности,3.1,665.11
"Перевозка грунта автомобилями-самосвалами грузоподъемностью более 10 т, работающих вне карьера на расстояние: до 5 км (иЗ отвала)",самосвал,самосвал,транспортировка грунта или сыпучих материалов,4,Пример накопительной.xlsx:Лист_1:93551; Пример накопительной.xlsx:Лист_1:93567; Пример накопительной.xlsx:Лист_1:93581; Пример накопительной.xlsx:Лист_1:93595,1 т груза,605.52,6.69
"Перевозка массовых навалочных грузов автомобилями-самосвалами, работающими вне карьеров на расстояние до 5 км (I класс груза) Цена 6,69х1,2",самосвал,,,4,Пример накопительной.xlsx:Лист_1:37051; Пример накопительной.xlsx:Лист_1:44677; Пример накопительной.xlsx:Лист_1:45249; Пример накопительной.xlsx:Лист_1:46435,1 т груза,409.5,6.69
"Перевозка массовых навалочных грузов автомобилями-самосвалами, работающими вне карьеров на расстояние свыше 30 км закаждый 1 км добавлять (I класс гру",самосвал,,,4,Пример накопительной.xlsx:Лист_1:30495; Пример накопительной.xlsx:Лист_1:99337; Пример накопительной.xlsx:Лист_1:99361; Пример накопительной.xlsx:Лист_1:99703,1 т груза,0.0047,20.42
Песок природный для строительных работ средний (для обратной засыпки под автодорогой),,"автогрейдер, бульдозер","перемещение, засыпка или планировка грунта",4,Пример накопительной.xlsx:Лист_1:31257; Пример накопительной.xlsx:Лист_1:33737; Пример накопительной.xlsx:Лист_1:33961; Пример накопительной.xlsx:Лист_1:37301,м3,6,60.93
"Планировка откосов насыпей экскаватором-планировщиком, группа грунтов 3",экскаватор,"автогрейдер, бульдозер","перемещение, засыпка или планировка грунта",4,Пример накопительной.xlsx:Лист_1:38225; Пример накопительной.xlsx:Лист_1:38265; Пример накопительной.xlsx:Лист_1:38305; Пример накопительной.xlsx:Лист_1:38429,1000 м2 спланированной площади,0.1111,1757.46
Планировка площадей бульдозерами мощностью 132 кВт (180 л.с.),бульдозер,"автогрейдер, бульдозер","перемещение, засыпка или планировка грунта",4,Пример накопительной.xlsx:Лист_1:53899; Пример накопительной.xlsx:Лист_1:55961; Пример накопительной.xlsx:Лист_1:58341; Пример накопительной.xlsx:Лист_1:59053,1000 м2 спланированной поверхности за 1 проход бульдозера,0.43,29.43
Погружение в мостостроении в грунты 1-2 групп одиночных свай из бревен длиной до 8 м Извлечение свай заборной стенки,,"буровая машина, кран","буровые, свайные или фундаментные работы",4,Пример накопительной.xlsx:Лист_1:51635; Пример накопительной.xlsx:Лист_1:53125; Пример накопительной.xlsx:Лист_1:60863; Пример накопительной.xlsx:Лист_1:62003,1 м3 свай,0.82,1769.76
"Погружение вибропогружателем стальных свай шпунтового ряда массой 1 м свыше 70 кг на глубину до 10 м. Работы,выполняемые с прекращением движения поезд",,"буровая машина, кран","буровые, свайные или фундаментные работы",4,Пример накопительной.xlsx:Лист_1:55203; Пример накопительной.xlsx:Лист_1:55947; Пример накопительной.xlsx:Лист_1:56707; Пример накопительной.xlsx:Лист_1:56789,1 т свай,7.2,8089.88
"Погрузка грунта экскаваторами с ковшом вместимостью 0,5 (0,5-0,63) м3, группа грунтов 1",экскаватор,,,4,Пример накопительной.xlsx:Лист_1:42989; Пример накопительной.xlsx:Лист_1:94023; Пример накопительной.xlsx:Лист_1:94053; Пример накопительной.xlsx:Лист_1:94083,1000 м3 грунта,0.0047,2938.93
"Погрузка лишнего грунта на автомобили-самосвалы экскаваторами с ковшом вместимостью 0,5 (0,5-0,63) м3, группа грунтов 2","самосвал, экскаватор",,,4,Пример накопительной.xlsx:Лист_1:77237; Пример накопительной.xlsx:Лист_1:94119; Пример накопительной.xlsx:Лист_1:94141; Пример накопительной.xlsx:Лист_1:94185,1000 м3 грунта,0.092,4897.29
При перемещении грунта на каждые последующие 5 м добавлять к расценке 01-01-034-01,,"автогрейдер, бульдозер","перемещение, засыпка или планировка грунта",4,Пример накопительной.xlsx:Лист_1:55273; Пример накопительной.xlsx:Лист_1:63735; Пример накопительной.xlsx:Лист_1:64993; Пример накопительной.xlsx:Лист_1:65581,1000 м3 грунта,0.025,319.14
"Прокладка кабеля в трубе, масса 1 м кабеля до 1 кг",,"автовышка, кабелеукладчик, экскаватор","монтаж кабельных линий, СЦБ или связи",4,Пример накопительной.xlsx:Лист_1:37437; Пример накопительной.xlsx:Лист_1:37641; Пример накопительной.xlsx:Лист_1:37763; Пример накопительной.xlsx:Лист_1:69589,1 км,0.53,5669.33
Прокладка кабеля по воздушным металлическим желобам на одном объекте от 10 до 50 км без вязки пакетами (Прокладка кабеля в ПВХ трубке по кабель-росту),,"автовышка, кабелеукладчик, экскаватор","монтаж кабельных линий, СЦБ или связи",4,Пример накопительной.xlsx:Лист_1:36569; Пример накопительной.xlsx:Лист_1:36819; Пример накопительной.xlsx:Лист_1:37419; Пример накопительной.xlsx:Лист_1:37625,100 м кабеля,1.8,79.36
"Разработка грунта в котлованах экскаватором с ковшом вместимостью 1,0 м3, группа грунтов 1. Котлован под рисберму",экскаватор,"самосвал, экскаватор",земляные выемки и работа с грунтом,4,Пример накопительной.xlsx:Лист_1:61865; Пример накопительной.xlsx:Лист_1:63669; Пример накопительной.xlsx:Лист_1:64307; Пример накопительной.xlsx:Лист_1:65263,1000 м3 грунта,0.04,3147.1
"Разработка грунта в котлованах экскаватором с ковшом вместимостью 1,0 м3, группа грунтов 1. Котлован под фундамент и укрепление русла",экскаватор,"самосвал, экскаватор",земляные выемки и работа с грунтом,4,Пример накопительной.xlsx:Лист_1:58489; Пример накопительной.xlsx:Лист_1:59707; Пример накопительной.xlsx:Лист_1:63723; Пример накопительной.xlsx:Лист_1:64365,1000 м3 грунта,0.222,3147.1
